Sample,GEO_ID
X202894750037_R05C01,GSM6979872
X202894750037_R06C01,GSM6979873
X202894750037_R01C02,GSM6979874
X202894750037_R02C02,GSM6979875
X202894750037_R03C02,GSM6979876
X202894750037_R04C02,GSM6979877
X202894750037_R05C02,GSM6979878
X202894750037_R06C02,GSM6979879
X202897220081_R01C01,GSM6979880
X202897220081_R02C01,GSM6979881
X202897220081_R03C01,GSM6979882
X202897220081_R04C01,GSM6979883
X202897220081_R05C01,GSM6979884
X202897220081_R06C01,GSM6979885
X202897220081_R01C02,GSM6979886
X202897220081_R02C02,GSM6979887
X202897220081_R03C02,GSM6979888
X202897220081_R04C02,GSM6979889
X202897220081_R05C02,GSM6979890
X202897220081_R06C02,GSM6979891
X202897220141_R01C01,GSM6979892
X202897220141_R02C01,GSM6979893
X202897220141_R03C01,GSM6979894
X202897220141_R04C01,GSM6979895
X202897220141_R05C01,GSM6979896
X202897220141_R06C01,GSM6979897
X202897220141_R01C02,GSM6979898
X202897220141_R02C02,GSM6979899
X202897220141_R03C02,GSM6979900
X202897220141_R04C02,GSM6979901
X202897220141_R05C02,GSM6979902
X202897220141_R06C02,GSM6979903
X202894750013_R01C01,GSM6979904
X202894750013_R02C01,GSM6979905
X202894750013_R03C01,GSM6979906
X202894750013_R04C01,GSM6979907
X202894750013_R05C01,GSM6979908
X202894750013_R06C01,GSM6979909
X202894750013_R01C02,GSM6979910
X202894750013_R02C02,GSM6979911
X202894750013_R03C02,GSM6979912
X202894750013_R04C02,GSM6979913
X202894750013_R05C02,GSM6979914
X202894750013_R06C02,GSM6979915
X202897220106_R01C01,GSM6979916
X202897220106_R02C01,GSM6979917
X202897220106_R03C01,GSM6979918
X202897220106_R04C01,GSM6979919
X202897220106_R05C01,GSM6979920
X202897220106_R06C01,GSM6979921
X202897220106_R01C02,GSM6979922
X202897220106_R02C02,GSM6979923
X202897220106_R03C02,GSM6979924
X202897220106_R04C02,GSM6979925
X202897220106_R05C02,GSM6979926
X202897220106_R06C02,GSM6979927
X202897220108_R01C01,GSM6979928
X202897220108_R02C01,GSM6979929
X202897220108_R03C01,GSM6979930
X202897220108_R04C01,GSM6979931
X202897220108_R05C01,GSM6979932
X202897220108_R06C01,GSM6979933
X202897220108_R01C02,GSM6979934
X202897220108_R02C02,GSM6979935
X202897220108_R03C02,GSM6979936
X202897220108_R04C02,GSM6979937
X202897220108_R05C02,GSM6979938
X202897220108_R06C02,GSM6979939
X202897220090_R01C01,GSM6979940
X202897220090_R02C01,GSM6979941
X202897220090_R03C01,GSM6979942
X202897220090_R04C01,GSM6979943
X202897220090_R05C01,GSM6979944
X202897220090_R06C01,GSM6979945
X202897220090_R01C02,GSM6979946
X202897220090_R02C02,GSM6979947
X202897220090_R03C02,GSM6979948
X202897220090_R04C02,GSM6979949
X202897220090_R05C02,GSM6979950
X202897220090_R06C02,GSM6979951
X202897220051_R01C01,GSM6979952
X202897220051_R02C01,GSM6979953
X202897220051_R03C01,GSM6979954
X202897220051_R04C01,GSM6979955
X202897220051_R05C01,GSM6979956
X202897220051_R06C01,GSM6979957
X202897220051_R01C02,GSM6979958
X202897220051_R02C02,GSM6979959
X202897220051_R03C02,GSM6979960
X202897220051_R04C02,GSM6979961
X202897220051_R05C02,GSM6979962
X202897220051_R06C02,GSM6979963
X202897220026_R01C01,GSM6979964
X202897220026_R02C01,GSM6979965
X202897220026_R03C01,GSM6979966
X202897220026_R04C01,GSM6979967
X202897220026_R05C01,GSM6979968
X202897220026_R06C01,GSM6979969
X202897220026_R01C02,GSM6979970
X202897220026_R02C02,GSM6979971
X202897220026_R03C02,GSM6979972
X202897220026_R04C02,GSM6979973
X202897220026_R05C02,GSM6979974
X202897220026_R06C02,GSM6979975
X202897220025_R01C01,GSM6979976
X202897220025_R02C01,GSM6979977
X202897220025_R03C01,GSM6979978
X202897220025_R04C01,GSM6979979
X202897220025_R05C01,GSM6979980
X202897220025_R06C01,GSM6979981
X202897220025_R01C02,GSM6979982
X202897220025_R02C02,GSM6979983
X202897220025_R03C02,GSM6979984
X202897220025_R04C02,GSM6979985
X202897220025_R05C02,GSM6979986
X202897220025_R06C02,GSM6979987
X202897220024_R01C01,GSM6979988
X202897220024_R02C01,GSM6979989
X202897220024_R03C01,GSM6979990
X202897220024_R04C01,GSM6979991
X202897220024_R05C01,GSM6979992
X202897220024_R06C01,GSM6979993
X202897220024_R01C02,GSM6979994
X202897220024_R02C02,GSM6979995
X202897220024_R03C02,GSM6979996
X202897220024_R04C02,GSM6979997
X202897220024_R05C02,GSM6979998
