SpeciesCommonName,SpeciesLatinName,Tissue,Female,Age,SID
Cat,Felis catus,Blood,1,5.916164384,X204529320034_R05C01
Cat,Felis catus,Blood,0,1.249863014,X204529320034_R05C02
Cat,Felis catus,Blood,1,6.832876712,X204529320034_R06C01
Cat,Felis catus,Blood,1,9.416438356,X204529320034_R06C02
Gray short-tailed opossum,Monodelphis domestica,Tail,0,0.038358266,X204529320035_R01C01
Gray short-tailed opossum,Monodelphis domestica,Liver,1,0.230149597,X204529320035_R01C02
Gray short-tailed opossum,Monodelphis domestica,Tail,1,0.038358266,X204529320035_R02C01
Gray short-tailed opossum,Monodelphis domestica,Liver,1,0.287686997,X204529320035_R02C02
Gray short-tailed opossum,Monodelphis domestica,Tail,1,0.123287671,X204529320035_R03C01
Gray short-tailed opossum,Monodelphis domestica,Liver,0,0.038358266,X204529320035_R03C02
Gray short-tailed opossum,Monodelphis domestica,Tail,1,0.123287671,X204529320035_R04C01
Gray short-tailed opossum,Monodelphis domestica,Liver,1,0.038358266,X204529320035_R04C02
Gray short-tailed opossum,Monodelphis domestica,Liver,0,0.287686997,X204529320035_R05C01
Gray short-tailed opossum,Monodelphis domestica,Liver,1,0.123287671,X204529320035_R05C02
Gray short-tailed opossum,Monodelphis domestica,Liver,0,0.24932873,X204529320035_R06C01
Gray short-tailed opossum,Monodelphis domestica,Liver,1,0.123287671,X204529320035_R06C02
Mouse,Mus musculus,Muscle,0,0.115074799,X204529320036_R01C01
Mouse,Mus musculus,Muscle,0,0.076716532,X204529320036_R01C02
Mouse,Mus musculus,Muscle,0,0.115074799,X204529320036_R02C01
Mouse,Mus musculus,Muscle,0,0.076716532,X204529320036_R02C02
Mouse,Mus musculus,Muscle,0,0.115074799,X204529320036_R03C01
Mouse,Mus musculus,Muscle,0,0.076716532,X204529320036_R03C02
Mouse,Mus musculus,Muscle,0,0.095895666,X204529320036_R04C01
Mouse,Mus musculus,Muscle,0,0.057537399,X204529320036_R04C02
Mouse,Mus musculus,Muscle,0,0.095895666,X204529320036_R05C01
Mouse,Mus musculus,Muscle,0,0.057537399,X204529320036_R05C02
Mouse,Mus musculus,Muscle,0,0.095895666,X204529320036_R06C01
Mouse,Mus musculus,Muscle,0,0.057537399,X204529320036_R06C02
Cat,Felis catus,Blood,0,4.499726027,X204529320037_R01C01
Cat,Felis catus,Blood,0,0.749589041,X204529320037_R01C02
Cat,Felis catus,Blood,1,14.83287671,X204529320037_R02C01
Cat,Felis catus,Blood,0,20.91667,X204529320037_R02C02
Cat,Felis catus,Blood,0,14.08328767,X204529320037_R03C01
Cat,Felis catus,Blood,1,1.083287671,X204529320037_R03C02
Cat,Felis catus,Blood,1,3.749589041,X204529320037_R04C01
Cat,Felis catus,Blood,1,1.499726027,X204529320037_R04C02
Cat,Felis catus,Blood,0,2.083287671,X204529320037_R05C01
Cat,Felis catus,Blood,1,13.83287671,X204529320037_R05C02
Cat,Felis catus,Blood,0,0.583013699,X204529320037_R06C01
Cat,Felis catus,Blood,0,14.24986301,X204529320037_R06C02
Gorilla,Gorilla gorilla,Blood,0,4.739219713,X204529320038_R01C01
Harbor seal,Phoca vitulina,Blood,1,9.451060917,X204529320038_R01C02
Grevy's zebra,Equus grevyi,Blood,0,11.16164384,X204529320038_R02C01
Harbor seal,Phoca vitulina,Blood,1,10.44490075,X204529320038_R02C02
Harbor seal,Phoca vitulina,Blood,1,5.385352498,X204529320038_R03C01
Harbor seal,Phoca vitulina,Blood,1,9.437371663,X204529320038_R03C02
Harbor seal,Phoca vitulina,Blood,1,16.42710472,X204529320038_R04C01
Harbor seal,Phoca vitulina,Blood,1,10.46406571,X204529320038_R04C02
Harbor seal,Phoca vitulina,Blood,1,5.404517454,X204529320038_R05C01
