SpeciesCommonName,SpeciesLatinName,Tissue,Sex,Age,Sample,GEO_ID
Olive baboon,Papio hamadryas,Muscle,Male,8.04,X203531420075_R03C01,GSM6981858
Olive baboon,Papio hamadryas,Muscle,Male,8.8,X203531420075_R03C02,GSM6981864
Olive baboon,Papio hamadryas,Muscle,Female,18.95,X203531420075_R04C01,GSM6981859
Olive baboon,Papio hamadryas,Heart,Female,19.81,X203531420075_R04C02,GSM6981865
Olive baboon,Papio hamadryas,Muscle,Female,18.61,X203531420075_R05C01,GSM6981860
Olive baboon,Papio hamadryas,Heart,Female,18.48,X203531420075_R05C02,GSM6981866
Olive baboon,Papio hamadryas,Muscle,Female,17.85,X203531420075_R06C01,GSM6981861
Olive baboon,Papio hamadryas,Heart,Female,13.16,X203531420075_R06C02,GSM6981867
Yellow-bellied marmot,Marmota flaviventris,Blood,Female,7.89,X203531420077_R01C01,GSM6987719
Yellow-bellied marmot,Marmota flaviventris,Blood,Female,2.0,X203531420077_R01C02,GSM6987725
Yellow-bellied marmot,Marmota flaviventris,Blood,Female,11.98,X203531420077_R02C01,GSM6987720
Yellow-bellied marmot,Marmota flaviventris,Blood,Female,9.92,X203531420077_R02C02,GSM6987726
Yellow-bellied marmot,Marmota flaviventris,Blood,Female,0.06,X203531420077_R03C01,GSM6987721
Yellow-bellied marmot,Marmota flaviventris,Blood,Female,8.85,X203531420077_R03C02,GSM6987727
Yellow-bellied marmot,Marmota flaviventris,Blood,Female,2.88,X203531420077_R04C01,GSM6987722
Yellow-bellied marmot,Marmota flaviventris,Blood,Female,7.0,X203531420077_R04C02,GSM6987728
Yellow-bellied marmot,Marmota flaviventris,Blood,Female,2.99,X203531420077_R05C01,GSM6987723
Yellow-bellied marmot,Marmota flaviventris,Blood,Female,0.89,X203531420077_R05C02,GSM6987729
Yellow-bellied marmot,Marmota flaviventris,Blood,Female,3.9,X203531420077_R06C01,GSM6987724
Yellow-bellied marmot,Marmota flaviventris,Blood,Female,7.95,X203531420077_R06C02,GSM6987730
Yellow-bellied marmot,Marmota flaviventris,Blood,Female,2.83,X203531420078_R01C01,GSM6987791
Yellow-bellied marmot,Marmota flaviventris,Blood,Female,1.93,X203531420078_R01C02,GSM6987797
Yellow-bellied marmot,Marmota flaviventris,Blood,Female,0.94,X203531420078_R02C01,GSM6987792
Yellow-bellied marmot,Marmota flaviventris,Blood,Female,0.02,X203531420078_R02C02,GSM6987798
Yellow-bellied marmot,Marmota flaviventris,Blood,Female,1.89,X203531420078_R03C01,GSM6987793
